,CIMS-MN-053-SH-M-N-MN-M05688-240322_S29,CIMS-MN-060-SH-K-N-MN-M05688-240322_S12,CIMS-MN-067-SH-K-N-MN-M05688-240322_S19,CIMS-MN-064-SH-M-N-MN-M05688-240322_S40,CIMS-MN-067-SH-M-N-MN-M05688-240322_S43,CIMS-MN-069-SH-K-N-MN-M05688-240322_S21,CIMS-MN-069-SH-M-N-MN-M05688-240322_S45,CIMS-MN-051-SH-M-N-MN-M05688-240322_S27,CIMS-MN-051-SH-K-N-MN-M05688-240322_S3,CIMS-MN-063-SH-M-N-MN-M05688-240322_S39,CIMS-MN-055-SH-M-N-MN-M05688-240322_S31,CIMS-MN-063-SH-K-N-MN-M05688-240322_S15,CIMS-MN-055-SH-K-N-MN-M05688-240322_S7,CIMS-MN-078-IH-MN-M05688-240322_S48
OG0000331primerGroup9,81,119,95,205,191,308,357,441,379,1047,836,1411,1661,1285
OG0000332primerGroup6,40,46,66,117,96,132,171,191,185,540,493,714,877,674
OG0000333primerGroup3,8,3,5,27,21,12,21,44,30,99,127,120,143,213
OG0000334primerGroup6,27,35,38,55,67,115,108,138,141,409,492,639,725,794
OG0000335primerGroup4,71,88,91,143,127,260,257,326,278,794,746,1111,1298,1207
OG0000336primerGroup5,49,51,44,122,117,127,159,209,185,509,487,663,822,638
OG0000337primerGroup6,26,36,35,55,68,102,116,129,113,295,383,551,578,716
OG0000338primerGroup4,83,75,84,171,183,303,321,343,280,851,943,1317,1424,1638
OG0000340primerGroup8,38,36,37,92,80,122,173,189,155,569,632,810,850,1275
OG0000341primerGroup1,43,73,58,151,116,194,192,265,237,559,522,805,999,598
OG0000343primerGroup4,41,40,41,61,74,135,137,62,38,448,563,637,877,924
OG0000344primerGroup0,35,40,47,104,86,153,207,218,193,571,674,951,961,1596
OG0000345primerGroup2,59,90,68,128,135,173,174,305,313,759,834,1136,1358,1267
OG0000346primerGroup0,54,48,36,105,116,157,160,219,176,488,633,827,836,1255
OG0000347primerGroup0,20,10,19,43,32,59,60,80,67,243,255,306,322,500
OG0000348primerGroup3,35,56,58,106,112,153,158,204,188,406,387,635,719,677
OG0000349primerGroup0,27,35,27,69,56,131,115,133,132,385,437,537,615,626
OG0000350primerGroup3,80,96,85,194,172,254,268,325,303,856,826,1248,1361,1379
OG0000351primerGroup4,82,83,98,155,139,311,300,342,343,791,837,1183,1413,1288
OG0000353primerGroup2,44,30,41,83,45,143,131,123,148,396,441,642,758,634
OG0000354primerGroup8,38,46,48,132,109,160,197,224,208,539,526,732,943,878
OG0000355primerGroup9,54,40,34,134,101,166,174,220,181,519,638,799,818,896
OG0000356primerGroup3,40,38,28,74,77,126,138,159,113,355,441,536,590,681
OG0000357primerGroup6,48,37,35,94,84,130,191,182,157,430,503,657,791,967
OG0000358primerGroup0,17,17,9,31,25,62,51,94,62,191,202,302,307,405
OG0000359primerGroup1,50,31,44,93,86,2,3,197,180,575,563,876,1059,1015
OG0000360primerGroup4,28,27,36,54,48,87,108,127,115,376,425,436,587,973
OG0000361primerGroup4,35,30,38,71,92,110,174,165,131,457,517,631,584,1078
OG0000362primerGroup2,22,45,23,48,65,102,101,128,96,349,406,520,577,662
OG0000363primerGroup0,45,35,37,90,92,144,189,208,144,512,546,699,793,799
OG0000364primerGroup3,23,15,26,52,34,99,84,108,81,323,394,464,559,734
OG0000365primerGroup1,37,39,43,89,86,126,180,187,148,460,566,759,818,1026
OG0000366primerGroup3,18,36,18,52,55,105,93,129,114,354,379,502,536,726
OG0000367primerGroup0,34,32,46,89,63,137,121,158,136,417,475,604,744,752
OG0000368primerGroup0,23,17,21,48,65,85,141,124,83,318,386,448,522,817
OG0000370primerGroup8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0000371primerGroup4,67,92,69,148,126,225,244,271,214,804,731,1001,1332,979
OG0000372primerGroup9,33,54,49,69,60,121,129,153,124,502,487,718,789,729
OG0000373primerGroup5,62,63,61,112,123,185,197,249,243,495,591,777,846,749
OG0000374primerGroup1,26,25,38,71,63,135,108,143,132,384,436,601,629,811
OG0000375primerGroup2,34,38,56,82,88,173,162,143,151,504,485,740,907,839
OG0000376primerGroup0,72,81,67,190,175,275,284,329,306,873,809,1305,1419,1253
OG0000377primerGroup0,26,31,35,92,69,141,136,138,169,400,395,534,759,489
OG0000378primerGroup0,50,46,37,65,75,118,162,179,147,452,514,699,797,932
OG0000379primerGroup2,40,53,55,104,109,167,189,221,225,570,696,1001,911,1298
OG0000380primerGroup1,36,33,30,77,82,115,153,172,136,434,482,595,640,850
OG0000381primerGroup2,21,32,28,52,58,88,108,111,113,310,404,514,485,811
OG0000382primerGroup5,29,33,27,40,40,89,95,117,95,335,301,453,613,524
OG0000383primerGroup0,44,71,42,94,114,211,156,224,208,611,662,982,1112,957
OG0000384primerGroup0,46,56,49,108,114,182,218,261,182,536,645,895,854,1196
OG0000385primerGroup0,8,5,10,19,18,18,28,30,14,111,135,118,127,301
OG0000386primerGroup3,89,89,105,152,159,288,278,341,292,717,801,1065,1233,1223
OG0000387primerGroup9,79,89,91,152,183,296,304,355,282,733,1002,1139,1372,1708
OG0000388primerGroup0,54,49,70,123,128,193,218,201,191,550,635,800,993,1056
OG0000389primerGroup4,18,30,23,55,56,84,113,131,107,271,357,408,451,799
OG0000390primerGroup1,19,16,21,44,62,68,93,115,81,243,351,365,389,642
OG0000391primerGroup1,18,19,11,33,26,48,72,54,32,299,207,257,358,318
OG0000392primerGroup0,40,38,36,57,71,120,76,112,120,353,385,545,642,748
OG0000393primerGroup5,51,50,63,126,107,189,187,202,216,578,579,756,977,910
OG0000394primerGroup0,29,17,19,45,45,78,104,96,93,290,403,360,476,809
OG0000395primerGroup0,31,34,39,86,82,124,139,160,151,418,457,602,667,930
OG0000396primerGroup9,15,11,15,41,39,60,67,73,76,177,219,277,334,396
OG0000397primerGroup2,42,38,38,63,77,122,152,158,131,490,538,608,660,880
OG0000398primerGroup7,5,7,2,17,21,22,30,31,31,86,116,159,161,137
OG0000399primerGroup2,40,39,38,1263,104,142,197,215,165,474,622,779,789,1120
OG0000402primerGroup1,14,11,12,31,18,48,31,47,28,160,190,208,231,320
OG0000404primerGroup4,19,17,17,49,48,74,66,79,53,237,261,314,392,343
OG0000405primerGroup6,29,26,33,72,41,124,118,142,130,406,489,665,681,763
OG0000406primerGroup1,28,11,23,26,47,44,60,101,68,223,290,341,346,536
OG0000407primerGroup4,38,53,48,112,114,110,112,183,196,566,662,908,1007,924
OG0000408primerGroup2,52,56,52,126,135,181,222,266,215,643,666,952,926,1243
OG0000409primerGroup5,61,73,55,134,129,194,242,282,212,638,739,960,1034,1423
OG0000410primerGroup6,35,24,39,61,88,110,155,149,126,395,501,598,585,962
OG0000411primerGroup4,57,44,62,111,114,196,197,234,225,693,763,943,1212,1053
OG0000412primerGroup5,22,32,40,65,73,111,115,150,130,388,521,755,798,984
OG0000414primerGroup8,9,5,6,19,18,16,24,45,27,97,143,165,180,167
OG0000417primerGroup1,41,39,36,85,76,125,150,192,135,496,558,613,738,638
OG0000419primerGroup0,42,35,42,93,95,162,189,196,167,511,574,790,873,1024
OG0000421primerGroup0,9,11,9,25,31,31,43,57,43,165,209,236,269,331
OG0000422primerGroup3,26,18,23,55,44,74,84,94,93,225,402,386,518,705
OG0000424primerGroup9,58,62,55,128,116,200,179,274,201,647,685,893,993,1114
OG0000425primerGroup8,55,52,41,95,124,168,195,252,220,567,695,861,1000,1139
OG0000426primerGroup0,44,36,43,76,112,135,220,239,160,608,717,777,804,1477
OG0000427primerGroup2,58,63,80,177,163,201,271,305,244,747,743,1075,1219,1096
OG0000428primerGroup3,84,72,89,194,164,293,314,363,318,916,922,1332,1575,1227
OG0000429primerGroup8,52,55,51,116,117,210,207,242,212,618,666,858,1037,978
OG0000430primerGroup3,10,12,13,18,21,20,36,52,26,123,198,193,191,357
OG0000431primerGroup3,38,44,49,112,95,134,213,219,197,535,578,753,827,878
OG0000433primerGroup5,52,51,45,106,113,149,188,226,170,568,495,771,1041,720
OG0000434primerGroup3,45,50,44,81,86,134,157,209,164,458,558,736,712,1135
OG0000435primerGroup1,45,53,34,106,84,130,213,239,196,474,670,815,935,1053
OG0000436primerGroup0,48,49,46,106,83,133,154,231,169,520,613,896,901,1462
OG0000437primerGroup2,50,33,41,115,107,165,178,203,208,556,634,914,1068,1164
OG0000438primerGroup6,38,32,0,92,79,101,125,138,119,432,444,623,608,1172
OG0000439primerGroup9,25,34,42,74,63,264,121,137,142,427,524,615,725,1028
OG0000440primerGroup6,31,30,33,83,84,135,146,159,144,400,465,578,676,981
OG0000441primerGroup4,33,20,26,68,76,75,129,171,121,358,349,534,498,849
OG0000442primerGroup4,44,30,35,101,92,126,184,227,129,593,559,595,737,825
OG0000443primerGroup0,70,70,78,117,129,220,193,203,236,700,679,933,1298,1094
OG0000444primerGroup9,6,8,3,10,7,19,19,25,23,66,94,151,141,301
OG0000445primerGroup5,2,2,3,8,8,14,18,17,13,74,77,51,78,130
OG0000446primerGroup2,80,88,80,172,138,242,249,319,320,803,822,1195,1360,1314
OG0000447primerGroup6,17,22,14,51,40,73,113,109,70,290,327,409,412,663
OG0000448primerGroup4,13,20,14,30,23,48,56,63,51,230,226,305,390,523
OG0000449primerGroup0,24,28,27,72,57,83,96,130,103,382,464,489,574,873
OG0000450primerGroup4,35,39,45,78,108,170,170,216,182,553,579,747,943,963
OG0000451primerGroup5,51,35,45,103,104,148,222,235,190,521,667,829,988,1433
OG0000452primerGroup2,37,40,35,102,113,150,180,198,145,532,584,726,866,1043
OG0000453primerGroup0,46,40,42,100,91,144,131,172,168,484,494,707,863,801
OG0000454primerGroup9,76,81,60,141,161,262,252,308,266,845,814,1157,1436,1366
OG0000455primerGroup4,43,39,49,96,89,132,146,201,177,637,528,897,729,967
OG0000456primerGroup7,23,31,15,41,37,51,74,97,63,229,373,387,504,681
OG0000457primerGroup7,52,53,54,118,130,134,178,220,195,540,571,810,966,1066
OG0000458primerGroup3,58,81,63,124,148,208,211,231,237,690,664,1028,1070,1147
OG0000459primerGroup4,15,19,21,36,23,66,50,73,63,222,319,428,460,562
OG0000460primerGroup5,91,44,53,108,118,129,196,226,208,590,745,834,929,1518
OG0000461primerGroup0,53,72,53,152,106,200,205,262,248,686,670,1013,1210,1105
OG0000462primerGroup0,45,48,43,104,94,140,129,168,156,507,534,725,906,890
OG0000463primerGroup7,7,3,4,15,6,7,34,18,18,72,121,141,134,266
OG0000464primerGroup1,75,73,86,151,190,266,261,340,308,818,990,1281,1436,1698
OG0000465primerGroup9,29,26,31,56,70,89,95,119,112,373,356,471,705,675
OG0000466primerGroup7,80,85,109,154,190,209,191,371,338,964,1083,1500,1774,1984
OG0000467primerGroup2,63,64,62,113,125,210,200,243,226,646,735,923,1062,1147
OG0000468primerGroup1,27,21,18,51,74,79,101,113,107,324,367,455,424,888
OG0000469primerGroup9,41,67,47,97,114,191,267,238,197,708,690,979,972,1502
OG0000470primerGroup7,16,23,16,48,44,70,55,78,60,220,288,324,350,565
OG0000471primerGroup6,63,81,81,176,158,261,215,299,301,729,754,1267,1339,1088
OG0000472primerGroup0,11,4,6,10,24,21,33,49,31,137,137,146,156,283
OG0000473primerGroup7,19,26,20,39,34,58,95,93,68,279,387,459,546,576
OG0000474primerGroup1,75,102,104,195,187,264,271,385,340,858,935,1380,1495,1617
OG0000476primerGroup4,26,49,44,78,73,127,133,171,144,426,391,613,795,729
OG0000477primerGroup0,25,20,29,46,47,71,120,118,87,266,416,346,429,941
OG0000478primerGroup1,29,19,29,68,59,59,124,149,111,346,408,435,466,1087
OG0000479primerGroup6,19,31,26,57,52,87,96,145,126,368,364,547,563,670
OG0000480primerGroup7,34,37,43,93,87,92,110,176,149,408,471,527,638,909
OG0000481primerGroup1,13,36,32,46,32,88,83,96,79,330,314,480,520,173
OG0000482primerGroup0,38,33,49,76,65,128,123,53,81,412,477,607,773,956
OG0000483primerGroup1,58,75,78,159,148,256,254,337,271,900,867,1294,1483,1533
OG0000484primerGroup9,64,81,50,141,122,180,222,265,243,616,666,884,1085,1138
OG0000485primerGroup9,42,52,54,109,86,189,198,244,221,635,658,941,1157,1365
OG0000486primerGroup0,0,28,25,60,55,93,95,122,111,367,451,4,506,1036
OG0000487primerGroup1,49,53,49,95,93,167,148,214,170,528,528,804,946,1102
OG0000488primerGroup0,31,35,28,56,60,102,95,130,146,340,428,622,677,903
OG0000489primerGroup9,15,19,14,41,29,43,69,92,82,241,267,362,426,536
OG0000490primerGroup4,31,30,20,76,59,84,127,124,100,328,387,526,604,849
OG0000493primerGroup9,17,19,16,22,39,57,78,68,54,266,336,453,448,690
OG0000494primerGroup9,21,15,15,41,55,53,105,109,92,339,358,340,344,785
OG0000495primerGroup6,29,39,39,95,63,46,78,170,148,429,498,629,728,828
OG0000496primerGroup4,58,52,51,115,158,137,215,251,172,476,554,715,878,969
OG0000499primerGroup6,47,45,58,87,95,137,186,235,178,543,640,866,946,1028
OG0000500primerGroup9,42,37,50,105,96,146,145,194,170,482,546,732,805,893
OG0000501primerGroup1,56,74,60,118,143,198,224,258,231,585,651,976,1045,1099
OG0000503primerGroup3,77,75,58,129,160,5,304,374,312,814,865,1296,1334,1830
OG0000504primerGroup4,111,144,118,270,225,306,366,456,396,1066,921,1384,1498,1223
OG0000505primerGroup2,18,7,11,24,35,50,69,60,52,229,238,204,263,427
OG0000506primerGroup1,51,68,59,108,91,161,172,218,214,632,590,854,1043,997
OG0000507primerGroup7,44,38,41,108,78,124,183,214,197,499,598,758,858,1231
OG0000508primerGroup0,42,56,45,87,111,121,123,191,168,582,562,829,926,830
OG0000509primerGroup7,36,47,41,87,97,122,152,186,149,485,559,692,789,862
OG0000510primerGroup0,25,31,38,59,54,110,111,130,130,437,398,565,685,701
OG0000511primerGroup6,7,8,5,16,29,30,51,46,24,249,183,81,162,295
OG0000512primerGroup7,70,98,81,177,161,228,313,355,285,738,785,1160,1333,1181
OG0000513primerGroup8,38,35,39,93,78,134,143,201,158,418,514,686,746,773
OG0000514primerGroup3,43,53,54,101,94,149,176,212,158,532,584,851,1059,1022
OG0000515primerGroup0,25,20,19,50,34,63,105,111,85,216,241,295,344,441
OG0000516primerGroup0,87,88,59,154,162,259,287,309,262,739,744,1077,1352,899
OG0000517primerGroup6,57,53,54,139,151,182,224,303,210,593,634,928,1036,1024
OG0000518primerGroup7,58,75,47,130,99,169,185,231,201,586,522,798,1057,819
OG0000519primerGroup2,44,37,33,76,62,103,112,160,122,395,410,504,587,686
OG0000520primerGroup2,109,114,98,224,223,373,314,419,387,1070,1088,1488,1751,1437
OG0000521primerGroup2,55,66,61,126,130,174,245,322,276,679,916,1136,1246,1729
OG0000526primerGroup5,77,85,62,147,167,196,251,348,259,745,822,1220,1232,1484
OG0000531primerGroup5,29,41,34,72,83,103,155,173,134,460,543,654,690,778
OG0000532primerGroup6,98,95,89,168,160,329,300,359,291,860,859,1308,1501,1340
OG0000533primerGroup8,37,21,25,63,66,128,124,148,145,374,405,552,663,681
OG0000534primerGroup1,14,20,19,36,41,0,91,83,62,240,320,364,455,698
OG0000535primerGroup2,44,47,47,117,99,160,142,195,169,485,456,641,819,569
OG0000536primerGroup2,71,69,85,157,128,9,6,291,224,684,697,1022,1272,994
OG0000537primerGroup5,47,58,48,101,99,208,237,211,169,570,562,869,826,654
OG0000539primerGroup4,62,2,48,117,132,11,15,217,218,563,36,714,37,1035
OG0000540primerGroup7,38,37,41,57,68,104,113,128,107,332,376,532,584,680
OG0000541primerGroup9,4,0,0,4,4,6,5,7,4,36,38,38,39,43
OG0000542primerGroup4,38,33,34,48,63,105,117,109,123,260,410,411,532,627
OG0000543primerGroup5,0,4,5,8,4,9,18,20,16,43,72,80,63,119
OG0000544primerGroup9,56,82,65,151,150,227,234,261,252,685,709,895,1151,964
OG0000545primerGroup7,25,31,26,55,53,74,90,123,96,320,387,408,499,807
OG0000546primerGroup4,8,8,4,15,8,24,28,33,27,77,126,153,172,383
OG0000547primerGroup0,14,18,12,30,30,47,60,69,39,151,231,241,243,493
OG0000548primerGroup0,17,11,19,42,21,60,60,76,63,144,203,198,306,387
OG0000549primerGroup5,59,69,66,163,123,225,192,263,217,544,518,778,955,726
OG0000550primerGroup8,51,55,57,102,113,204,227,248,183,644,773,972,1225,1577
OG0000551primerGroup2,45,55,51,110,102,158,137,190,195,383,554,556,929,802
OG0000552primerGroup0,0,0,0,0,2,0,3,2,2,7,11,8,11,12
OG0000553primerGroup0,26,35,27,77,81,123,131,160,142,356,462,551,596,714
OG0000554primerGroup1,69,91,74,141,160,224,241,285,241,753,725,955,1211,1086
OG0000555primerGroup5,103,103,72,165,171,331,307,385,341,930,937,1500,1554,1637
OG0000556primerGroup1,34,36,31,73,61,125,149,140,137,380,498,653,647,935
OG0000557primerGroup1,99,90,98,174,136,327,260,304,310,786,821,1266,1498,973
OG0000558primerGroup2,39,42,52,102,112,143,194,229,199,548,669,747,931,865
OG0000559primerGroup2,58,64,76,136,170,250,288,302,223,716,913,1039,1292,1440
OG0000560primerGroup3,73,86,110,215,236,226,353,286,334,905,873,1043,1620,1052
OG0000561primerGroup8,17,32,16,31,32,79,78,52,70,206,335,241,522,285
OG0000885primerGroup0,14,17,17,39,41,59,107,101,62,213,300,333,299,604
OG0000886primerGroup2,46,62,44,110,117,163,282,259,211,657,734,962,1047,1280
OG0000887primerGroup1,21,16,13,25,30,51,49,58,68,209,287,353,351,480
OG0000888primerGroup0,61,63,59,132,151,188,220,307,249,755,845,1191,1272,1585
OG0000889primerGroup0,42,36,29,99,81,101,123,172,139,430,432,633,709,739
OG0000890primerGroup0,64,55,60,184,146,171,293,327,289,712,748,986,1183,1155
OG0000891primerGroup3,22,27,25,39,46,87,98,98,92,456,343,634,457,951
OG0000892primerGroup5,31,34,34,58,76,60,91,195,145,456,540,725,716,992
OG0000893primerGroup5,40,61,60,119,141,220,187,281,237,681,671,996,1188,1024
OG0000894primerGroup1,75,80,66,138,136,188,220,279,238,726,736,1034,1431,1097
OG0000895primerGroup0,51,62,50,128,120,165,314,323,239,698,784,1199,1087,1514
OG0000896primerGroup1,35,62,58,101,87,135,180,216,192,538,540,830,914,765
OG0000897primerGroup0,34,44,37,69,112,111,175,203,140,469,509,634,754,994
OG0000898primerGroup6,41,70,39,105,135,167,255,274,185,688,787,863,882,1342
OG0000937primerGroup8,57,57,64,143,137,145,208,277,234,624,657,802,1026,974
OG0000938primerGroup4,56,83,75,147,128,209,247,283,229,696,729,1041,1283,1184
OG0000939primerGroup1,57,66,36,114,96,150,147,168,228,588,497,675,814,683
OG0000940primerGroup4,19,26,25,45,57,63,97,97,83,265,335,408,412,645
OG0000941primerGroup2,57,51,44,128,141,154,214,254,219,637,720,984,987,1466
OG0000945primerGroup0,67,89,76,196,150,243,319,368,290,823,848,1242,1361,1377
OG0000946primerGroup2,23,27,16,34,39,70,85,94,96,273,353,438,450,728
OG0000947primerGroup8,35,33,29,47,65,81,118,120,117,323,446,549,463,902
OG0000948primerGroup8,22,29,24,39,49,71,80,114,130,307,466,465,534,774
OG0000949primerGroup0,17,25,35,51,62,125,95,103,121,507,405,783,620,652
OG0000950primerGroup1,33,52,48,116,98,149,194,232,208,522,635,733,880,865
OG0000951primerGroup8,40,71,46,111,140,180,228,277,240,527,698,867,984,1104
OG0000952primerGroup9,31,32,25,84,58,81,83,148,114,273,262,404,441,417
OG0000953primerGroup2,17,8,13,44,38,29,80,86,50,281,278,252,285,455
OG0000955primerGroup3,58,58,64,137,117,189,222,264,242,564,570,839,913,846
OG0000956primerGroup4,27,45,29,70,80,111,142,177,150,415,500,680,714,950
OG0000957primerGroup3,9,9,14,24,21,30,37,41,38,143,208,260,219,502
OG0000958primerGroup5,14,7,2,27,21,35,66,83,28,197,241,230,247,423
OG0000959primerGroup8,53,49,42,96,109,175,206,246,182,588,716,872,948,1152
OG0000960primerGroup0,43,21,60,93,71,79,79,198,159,282,356,461,503,731
OG0000961primerGroup0,36,44,47,64,60,155,136,158,179,429,460,735,805,800
OG0000962primerGroup4,51,58,50,113,117,153,196,227,234,625,621,890,1031,1005
OG0000964primerGroup0,41,39,41,109,116,148,211,239,187,606,670,872,941,973
OG0000965primerGroup0,43,76,74,130,113,145,192,213,212,508,483,776,968,748
OG0000966primerGroup7,38,44,40,86,85,116,143,192,174,516,611,707,822,1158
OG0000967primerGroup3,75,67,94,123,109,250,211,273,310,633,754,1078,1289,1116
OG0000968primerGroup1,25,28,46,80,96,118,166,228,184,501,603,788,872,1362
OG0000969primerGroup0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0000970primerGroup3,4,3,0,3,7,4,7,13,10,20,60,41,58,52
OG0000971primerGroup9,46,77,56,161,118,163,200,247,218,657,788,1029,1075,1301
OG0000972primerGroup3,7,3,0,19,16,6,26,37,12,146,158,63,139,339
OG0000973primerGroup6,38,32,42,99,88,111,130,179,141,388,490,675,736,920
OG0000974primerGroup5,40,35,31,101,97,123,143,177,148,434,468,660,772,869
OG0000975primerGroup3,71,84,66,167,179,248,335,397,300,748,905,1056,1390,1403
OG0000976primerGroup1,40,53,57,103,102,200,212,255,223,667,640,925,1158,981
OG0000978primerGroup4,28,23,22,38,42,68,86,104,109,284,333,451,486,710
OG0000979primerGroup0,24,39,26,44,36,84,94,103,100,334,370,479,560,685
OG0000980primerGroup2,50,57,48,104,127,186,214,259,217,605,698,916,1123,1339
OG0000983primerGroup1,81,98,120,201,191,341,327,423,434,1024,1121,1519,1858,1964
OG0000984primerGroup0,21,27,26,47,43,92,87,106,113,406,317,534,631,540
OG0000986primerGroup0,26,23,28,51,62,14,9,146,95,309,420,436,519,671
OG0000987primerGroup8,40,68,55,95,82,182,171,184,174,517,556,749,885,826
OG0000990primerGroup8,63,63,59,157,132,174,235,272,226,777,700,938,1074,1133
OG0000991primerGroup4,5,11,3,22,23,34,28,59,38,162,168,211,221,264
OG0000992primerGroup0,28,26,26,51,65,101,101,129,123,389,343,494,523,603
OG0000993primerGroup3,38,56,36,96,109,190,184,220,204,598,649,885,933,1272
OG0000996primerGroup8,27,27,37,46,68,100,110,138,120,351,319,410,508,645
OG0000998primerGroup2,29,30,31,77,59,71,105,156,107,391,332,515,493,642
OG0001000primerGroup9,44,42,48,79,88,135,164,169,155,538,496,622,765,830
OG0001002primerGroup3,30,25,30,69,47,85,91,116,96,302,426,654,641,864
OG0001003primerGroup5,20,31,23,51,59,56,58,132,138,195,412,368,643,544
OG0001004primerGroup8,19,29,28,57,54,97,87,97,113,304,315,443,627,482
OG0001005primerGroup6,27,39,31,96,63,120,132,136,133,468,534,686,795,778
OG0001006primerGroup0,35,40,40,77,71,124,124,172,170,452,519,647,794,819
OG0001007primerGroup0,40,44,49,264,117,170,228,283,212,616,691,851,978,1377
OG0001008primerGroup3,44,52,45,89,78,131,144,188,190,567,554,873,984,788
OG0001009primerGroup3,12,11,9,28,26,48,47,63,46,174,241,300,332,321
OG0001010primerGroup6,12,14,20,38,51,56,73,85,94,264,336,479,457,550
OG0001011primerGroup9,17,18,9,21,33,23,51,36,40,131,218,248,255,436
OG0001012primerGroup1,60,78,103,153,120,253,240,295,305,715,766,1139,1307,1143
OG0001013primerGroup5,0,0,0,4,3,0,4,4,2,14,20,20,21,50
OG0001014primerGroup5,30,39,26,88,60,85,130,158,118,469,445,623,760,582
OG0001015primerGroup0,45,56,40,95,85,135,150,172,206,555,520,785,970,575
OG0001016primerGroup3,16,31,22,50,53,68,70,81,86,359,299,400,496,494
OG0001017primerGroup2,25,21,39,79,70,116,150,142,117,416,494,648,741,1127
OG0001018primerGroup1,52,59,62,145,114,166,237,271,250,797,692,1066,1190,1200
OG0001019primerGroup1,42,52,41,84,79,124,162,222,157,497,629,751,774,1115
OG0001020primerGroup4,39,37,54,89,86,158,158,193,207,574,609,1049,1105,1110
OG0001021primerGroup1,48,31,32,96,86,131,139,196,142,486,551,708,799,965
OG0001022primerGroup7,34,25,35,68,65,86,108,158,112,337,352,593,589,565
OG0001023primerGroup0,76,90,68,170,198,254,336,371,307,876,854,1317,1344,1402
OG0001024primerGroup5,55,98,73,142,129,197,204,251,278,607,698,962,1280,930
OG0001026primerGroup2,49,62,50,105,96,146,190,209,204,551,550,778,893,884
OG0001027primerGroup9,33,45,50,87,110,132,190,216,155,532,590,799,839,1046
OG0001028primerGroup6,51,67,57,150,100,217,214,248,295,730,689,1113,1176,991
OG0001029primerGroup4,42,47,38,104,115,167,193,209,191,505,535,766,816,766
OG0001030primerGroup8,34,34,37,70,70,86,103,140,143,418,424,590,699,610
OG0001032primerGroup7,41,62,59,97,132,195,187,272,219,550,695,947,902,1562
OG0001033primerGroup0,25,31,30,43,59,86,115,113,118,352,352,537,591,656
OG0001034primerGroup0,60,62,43,132,115,174,189,229,222,606,568,867,923,922
OG0001035primerGroup1,53,43,58,129,138,154,192,226,177,602,647,858,942,1056
