Isolate (IH):,Stool (SH):,Isolate WGS (IW):
CIMS-MN-194-IH-MN-M05688-250502_S2,CIMS-MN-194-SH-M-E-MN-M04497-250507_S2,
CIMS-MN-195-IH-MN-M05688-250502_S3,CIMS-MN-195-SH-M-E-MN-M04497-250507_S3,
CIMS-MN-196-IH-MN-M05688-250502_S4,CIMS-MN-196-SH-M-E-MN-M04497-250507_S4,
CIMS-MN-197-IH-MN-M05688-250502_S5,CIMS-MN-197-SH-M-E-MN-M04497-250507_S5,
CIMS-MN-198-IH-MN-M05688-250502_S6,CIMS-MN-198-SH-M-E-MN-M04497-250507_S6,
CIMS-MN-199-IH-MN-M05688-250502_S7,CIMS-MN-199-SH-M-E-MN-M04497-250507_S7,
CIMS-MN-200-IH-MN-M05688-250502_S8,CIMS-MN-200-SH-M-E-MN-M04497-250507_S8,
CIMS-MN-201-IH-MN-M05688-250502_S9,CIMS-MN-201-SH-M-E-MN-M04497-250507_S9,
CIMS-MN-202-IH-MN-M05688-250502_S10,CIMS-MN-202-SH-M-E-MN-M04497-250507_S10,
CIMS-MN-203-IH-MN-M05688-250502_S11,CIMS-MN-203-SH-M-E-MN-M04497-250507_S11,
CIMS-MN-204-IH-MN-M05688-250502_S12,CIMS-MN-204-SH-M-E-MN-M04497-250507_S12,
CIMS-MN-205-IH-MN-M05688-250502_S13,CIMS-MN-205-SH-M-E-MN-M04497-250507_S13,
CIMS-MN-206-IH-MN-M05688-250502_S14,CIMS-MN-206-SH-M-E-MN-M04497-250507_S14,
CIMS-MN-207-IH-MN-M05688-250502_S15,CIMS-MN-207-SH-M-E-MN-M04497-250507_S15,
CIMS-MN-208-IH-MN-M05688-250502_S16,CIMS-MN-208-SH-M-E-MN-M04497-250507_S16,
CIMS-MN-209-IH-MN-M05688-250502_S17,CIMS-MN-209-SH-M-E-MN-M04497-250507_S17,
CIMS-MN-210-IH-MN-M05688-250502_S18,CIMS-MN-210-SH-M-E-MN-M04497-250507_S18,
CIMS-MN-211-IH-MN-M05688-250502_S19,CIMS-MN-211-SH-M-E-MN-M04497-250507_S19,
CIMS-MN-212-IH-MN-M05688-250502_S20,CIMS-MN-212-SH-M-E-MN-M04497-250507_S20,
CIMS-MN-213-IH-MN-M05688-250502_S21,CIMS-MN-213-SH-M-E-MN-M04497-250507_S21,
CIMS-MN-214-IH-MN-M05688-250502_S22,CIMS-MN-214-SH-M-E-MN-M04497-250507_S22,
CIMS-MN-215-IH-MN-M05688-250502_S23,CIMS-MN-215-SH-M-E-MN-M04497-250507_S23,
CIMS-OH-365-IH,CIMS-OH-343-SH,
CIMS-OH-366-IH,CIMS-OH-344-SH,
CIMS-OH-367-IH,CIMS-OH-345-SH,
CIMS-OH-368-IH,CIMS-OH-346-SH,
CIMS-OH-369-IH,CIMS-OH-347-SH,
CIMS-OH-370-IH,CIMS-OH-348-SH,
CIMS-OH-371-IH,CIMS-OH-349-SH,
CIMS-OH-372-IH,CIMS-OH-350-SH,
CIMS-OH-373-IH,CIMS-OH-351-SH,
CIMS-OH-374-IH,CIMS-OH-352-SH,
CIMS-OH-375-IH,CIMS-OH-353-SH,
CIMS-OH-376-IH,CIMS-OH-354-SH,
CIMS-OH-377-IH,CIMS-OH-355-SH,
CIMS-OH-378-IH,CIMS-OH-356-SH,
CIMS-OH-379-IH,CIMS-OH-357-SH,
CIMS-OH-380-IH,CIMS-OH-358-SH,
CIMS-OH-381-IH,CIMS-OH-359-SH,
CIMS-OH-382-IH,CIMS-OH-360-SH,
CIMS-OH-383-IH,CIMS-OH-361-SH,
CIMS-OH-384-IH,CIMS-OH-362-SH,
CIMS-OH-385-IH,CIMS-OH-363-SH,
CIMS-OH-386-IH,CIMS-OH-364-SH,
CIMS-OH-387-IH,CIMS-OH-409-SH,
CIMS-OH-388-IH,CIMS-OH-410-SH,
CIMS-OH-389-IH,CIMS-OH-411-SH,
CIMS-OH-390-IH,CIMS-OH-412-SH,
CIMS-OH-391-IH,CIMS-OH-413-SH,
CIMS-OH-392-IH,CIMS-OH-414-SH,
CIMS-OH-393-IH,CIMS-OH-415-SH,
CIMS-OH-394-IH,CIMS-OH-416-SH,
CIMS-OH-395-IH,CIMS-OH-417-SH,
CIMS-OH-396-IH,CIMS-OH-418-SH,
CIMS-OH-397-IH,CIMS-OH-419-SH,
CIMS-OH-398-IH,CIMS-OH-420-SH,
CIMS-OH-399-IH,CIMS-OH-421-SH,
CIMS-OH-400-IH,CIMS-OH-422-SH,
CIMS-OH-401-IH,CIMS-OH-423-SH,
CIMS-OH-402-IH,CIMS-OH-424-SH,
CIMS-OH-403-IH,CIMS-OH-425-SH,
CIMS-OH-404-IH,CIMS-OH-426-SH,
CIMS-OH-405-IH,CIMS-OH-427-SH,
CIMS-OH-406-IH,CIMS-OH-428-SH,
CIMS-OH-407-IH,CIMS-OH-429-SH,
CIMS-OH-408-IH,CIMS-OH-430-SH,
CIMS-OH-563-IH,CIMS-OH-563-SH,
CIMS-OH-564-IH,CIMS-OH-564-SH,
CIMS-OH-565-IH,CIMS-OH-565-SH,
CIMS-OH-566-IH,CIMS-OH-566-SH,
CIMS-OH-567-IH,CIMS-OH-567-SH,
CIMS-OH-568-IH,CIMS-OH-568-SH,
CIMS-OH-569-IH,CIMS-OH-569-SH,
CIMS-OH-570-IH,CIMS-OH-570-SH,
CIMS-OH-571-IH,CIMS-OH-571-SH,
CIMS-OH-572-IH,CIMS-OH-572-SH,
CIMS-OH-573-IH,CIMS-OH-573-SH,
CIMS-OH-574-IH,CIMS-OH-574-SH,
CIMS-OH-575-IH,CIMS-OH-575-SH,
CIMS-OH-576-IH,CIMS-OH-576-SH,
CIMS-OH-577-IH,CIMS-OH-577-SH,
CIMS-OH-578-IH,CIMS-OH-578-SH,
CIMS-OH-579-IH,CIMS-OH-579-SH,
CIMS-OH-580-IH,CIMS-OH-580-SH,
CIMS-OH-581-IH,CIMS-OH-581-SH,
CIMS-OH-582-IH,CIMS-OH-582-SH,
CIMS-OH-583-IH,CIMS-OH-583-SH,
CIMS-OH-584-IH,CIMS-OH-584-SH,
CIMS-OH-607-IH,CIMS-OH-607-SH,
CIMS-OH-608-IH,CIMS-OH-608-SH,
CIMS-OH-609-IH,CIMS-OH-609-SH,
CIMS-OH-610-IH,CIMS-OH-610-SH,
CIMS-OH-611-IH,CIMS-OH-611-SH,
CIMS-OH-612-IH,CIMS-OH-612-SH,
CIMS-OH-613-IH,CIMS-OH-613-SH,
CIMS-OH-614-IH,CIMS-OH-614-SH,
CIMS-OH-615-IH,CIMS-OH-615-SH,
CIMS-OH-616-IH,CIMS-OH-616-SH,
CIMS-OH-617-IH,CIMS-OH-617-SH,
CIMS-OH-618-IH,CIMS-OH-618-SH,
CIMS-OH-619-IH,CIMS-OH-619-SH,
CIMS-OH-620-IH,CIMS-OH-620-SH,
CIMS-OH-621-IH,CIMS-OH-621-SH,
CIMS-OH-622-IH,CIMS-OH-622-SH,
CIMS-OH-623-IH,CIMS-OH-623-SH,
CIMS-OH-624-IH,CIMS-OH-624-SH,
CIMS-OH-625-IH,CIMS-OH-625-SH,
CIMS-OH-626-IH,CIMS-OH-626-SH,
CIMS-OH-627-IH,CIMS-OH-627-SH,
CIMS-OH-628-IH,CIMS-OH-628-SH,
CIMS-MN-110-I-MN-M05144-241206_S1,CIMS-MN-110-SH-K-E-MN-M05144-240702_S25,
CIMS-MN-110-I-MN-M05144-241206_S1,CIMS-MN-110-SH-K-N-MN-M05144-240702_S1,
CIMS-MN-111-I-MN-M05144-241206_S2,CIMS-MN-111-SH-K-E-MN-M05144-240702_S26,
CIMS-MN-111-I-MN-M05144-241206_S2,CIMS-MN-111-SH-K-N-MN-M05144-240702_S2,
CIMS-MN-112-I-MN-M05144-241206_S3,CIMS-MN-112-SH-K-E-MN-M05144-240702_S27,
CIMS-MN-112-I-MN-M05144-241206_S3,CIMS-MN-112-SH-K-N-MN-M05144-240702_S3,
CIMS-MN-113-I-MN-M05144-241206_S4,CIMS-MN-113-SH-K-E-MN-M05144-240702_S28,
CIMS-MN-113-I-MN-M05144-241206_S4,CIMS-MN-113-SH-K-N-MN-M05144-240702_S4,
CIMS-MN-114-I-MN-M05144-241206_S5,CIMS-MN-114-SH-K-E-MN-M05144-240702_S29,
CIMS-MN-114-I-MN-M05144-241206_S5,CIMS-MN-114-SH-K-N-MN-M05144-240702_S5,
CIMS-MN-115-I-MN-M05144-241206_S6,CIMS-MN-115-SH-K-E-MN-M05144-240702_S30,
CIMS-MN-115-I-MN-M05144-241206_S6,CIMS-MN-115-SH-K-N-MN-M05144-240702_S6,
CIMS-MN-116-I-MN-M05144-241206_S7,CIMS-MN-116-SH-K-E-MN-M05144-240702_S31,
CIMS-MN-116-I-MN-M05144-241206_S7,CIMS-MN-116-SH-K-N-MN-M05144-240702_S7,
CIMS-MN-117-I-MN-M05144-241206_S8,CIMS-MN-117-SH-K-E-MN-M05144-240702_S32,
CIMS-MN-117-I-MN-M05144-241206_S8,CIMS-MN-117-SH-K-N-MN-M05144-240702_S8,
CIMS-MN-118-I-MN-M05144-241206_S9,CIMS-MN-118-SH-K-E-MN-M05144-240702_S33,
CIMS-MN-118-I-MN-M05144-241206_S9,CIMS-MN-118-SH-K-N-MN-M05144-240702_S9,
CIMS-MN-119-I-MN-M05144-241206_S10,CIMS-MN-119-SH-K-E-MN-M05144-240702_S34,
CIMS-MN-119-I-MN-M05144-241206_S10,CIMS-MN-119-SH-K-N-MN-M05144-240702_S10,
CIMS-MN-120-I-MN-M05144-241206_S11,CIMS-MN-120-SH-K-E-MN-M05144-240702_S35,
CIMS-MN-120-I-MN-M05144-241206_S11,CIMS-MN-120-SH-K-N-MN-M05144-240702_S11,
CIMS-MN-121-I-MN-M05144-241206_S12,CIMS-MN-121-SH-K-E-MN-M05144-240702_S36,
CIMS-MN-121-I-MN-M05144-241206_S12,CIMS-MN-121-SH-K-N-MN-M05144-240702_S12,
CIMS-MN-122-I-MN-M05144-241206_S13,CIMS-MN-122-SH-K-E-MN-M05144-240702_S37,
CIMS-MN-122-I-MN-M05144-241206_S13,CIMS-MN-122-SH-K-N-MN-M05144-240702_S13,
CIMS-MN-123-I-MN-M05144-241206_S14,CIMS-MN-123-SH-K-E-MN-M05144-240702_S38,
CIMS-MN-123-I-MN-M05144-241206_S14,CIMS-MN-123-SH-K-N-MN-M05144-240702_S14,
CIMS-MN-124-I-MN-M05144-241206_S15,CIMS-MN-124-SH-K-E-MN-M05144-240702_S39,
CIMS-MN-124-I-MN-M05144-241206_S15,CIMS-MN-124-SH-K-N-MN-M05144-240702_S15,
CIMS-MN-125-I-MN-M05144-241206_S16,CIMS-MN-125-SH-K-E-MN-M05144-240702_S40,
CIMS-MN-125-I-MN-M05144-241206_S16,CIMS-MN-125-SH-K-N-MN-M05144-240702_S16,
CIMS-MN-126-I-MN-M05144-241206_S17,CIMS-MN-126-SH-K-E-MN-M05144-240702_S41,
CIMS-MN-126-I-MN-M05144-241206_S17,CIMS-MN-126-SH-K-N-MN-M05144-240702_S17,
CIMS-MN-127-I-MN-M05144-241206_S18,CIMS-MN-127-SH-K-E-MN-M05144-240702_S42,
CIMS-MN-127-I-MN-M05144-241206_S18,CIMS-MN-127-SH-K-N-MN-M05144-240702_S18,
CIMS-MN-128-I-MN-M05144-241206_S19,CIMS-MN-128-SH-K-E-MN-M05144-240702_S43,
CIMS-MN-128-I-MN-M05144-241206_S19,CIMS-MN-128-SH-K-N-MN-M05144-240702_S19,
CIMS-MN-129-I-MN-M05144-241206_S20,CIMS-MN-129-SH-K-E-MN-M05144-240702_S44,
CIMS-MN-129-I-MN-M05144-241206_S20,CIMS-MN-129-SH-K-N-MN-M05144-240702_S20,
CIMS-MN-130-I-MN-M05144-241206_S21,CIMS-MN-130-SH-K-E-MN-M05144-240702_S45,
CIMS-MN-130-I-MN-M05144-241206_S21,CIMS-MN-130-SH-K-N-MN-M05144-240702_S21,
CIMS-MN-131-I-MN-M05144-241206_S22,CIMS-MN-131-SH-K-E-MN-M05144-240702_S46,
CIMS-MN-131-I-MN-M05144-241206_S22,CIMS-MN-131-SH-K-N-MN-M05144-240702_S22,
CIMS-NC-001-IH-r1-NC-M70818-250124_S33,CIMS-NC-001-SH-r1-NC-M70818-250124_S9,
CIMS-NC-002-IH-r1-NC-M70818-250124_S34,CIMS-NC-002-SH-r1-NC-M70818-250124_S10,
CIMS-NC-003-IH-r1-NC-M70818-250124_S35,CIMS-NC-003-SH-r1-NC-M70818-250124_S11,
CIMS-NC-008-IH-NC-M70818-240920_S32,CIMS-NC-008-SH-NC-M70818-240920_S8,
CIMS-NC-010-IH-NC-M70818-240920_S34,CIMS-NC-010-SH-NC-M70818-240920_S10,
CIMS-NC-013-IH-NC-M70818-240920_S37,CIMS-NC-013-SH-NC-M70818-240920_S13,
CIMS-NC-014-IH-NC-M70818-240920_S38,CIMS-NC-014-SH-NC-M70818-240920_S14,
CIMS-NC-018-IH-NC-M70818-240920_S42,CIMS-NC-018-SH-NC-M70818-240920_S18,
CIMS-NC-020-IH-r1-NC-M70818-250124_S37,CIMS-NC-020-SH-r1-NC-M70818-250124_S13,
CIMS-NC-021-IH-NC-M70818-240920_S45,CIMS-NC-021-SH-NC-M70818-240920_S21,
CIMS-NC-022-IH-NC-M70818-240920_S46,CIMS-NC-022-SH-NC-M70818-240920_S22,
CIMS-NC-023-IH-NC-M70818-240920_S47,CIMS-NC-023-SH-NC-M70818-240920_S23,
CIMS-NC-024-IH-NC-M70818-241021_S25,CIMS-NC-024-SH-NC-M70818-241021_S1_2,
CIMS-NC-024-IH-r1-NC-M70818-250124_S38,CIMS-NC-024-SH-r1-NC-M70818-250124_S14,
CIMS-NC-025-IH-NC-M70818-241021_S26_2,CIMS-NC-025-SH-NC-M70818-241021_S2_2,
CIMS-NC-029-IH-NC-M70818-241021_S29,CIMS-NC-029-SH-NC-M70818-241021_S5_2,
CIMS-NC-030-IH-NC-M70818-241021_S30,CIMS-NC-030-SH-NC-M70818-241021_S6_2,
CIMS-NC-032-IH-NC-M70818-241021_S32,CIMS-NC-032-SH-NC-M70818-241021_S8_2,
CIMS-NC-033-IH-NC-M70818-241021_S33_2,CIMS-NC-033-SH-NC-M70818-241021_S9,
CIMS-NC-034-IH-NC-M70818-241021_S34_2,CIMS-NC-034-SH-NC-M70818-241021_S10_2,
CIMS-NC-036-IH-NC-M70818-241021_S36_2,CIMS-NC-036-SH-NC-M70818-241021_S12,
CIMS-NC-039-IH-NC-M70818-241021_S39,CIMS-NC-039-SH-NC-M70818-241021_S15_2,
CIMS-NC-040-IH-NC-M70818-241021_S40,CIMS-NC-040-SH-NC-M70818-241021_S16,
CIMS-NC-041-IH-NC-M70818-241021_S41_2,CIMS-NC-041-SH-NC-M70818-241021_S17,
CIMS-NC-041-IH-r1-NC-M70818-250124_S43,CIMS-NC-041-SH-r1-NC-M70818-250124_S19,
CIMS-NC-042-IH-NC-M70818-241021_S42_2,CIMS-NC-042-SH-NC-M70818-241021_S18,
CIMS-NC-043-IH-NC-M70818-241021_S43_2,CIMS-NC-043-SH-NC-M70818-241021_S19_2,
CIMS-NC-044-IH-NC-M70818-241021_S44_2,CIMS-NC-044-SH-NC-M70818-241021_S20_2,
CIMS-NC-046-IH-NC-M70818-241021_S45,CIMS-NC-046-SH-NC-M70818-241021_S21,
CIMS-NC-048-IH-r1-NC-M70818-250124_S44,CIMS-NC-048-SH-r1-NC-M70818-250124_S20,
CIMS-NC-049-IH-NC-M70818-241030_S25_2,CIMS-NC-049-SH-NC-M70818-241030_S1_4,
CIMS-NC-050-IH-NC-M70818-241030_S26_4,CIMS-NC-050-SH-NC-M70818-241030_S2,
CIMS-NC-051-IH-NC-M70818-241030_S27,CIMS-NC-051-SH-NC-M70818-241030_S3_3,
CIMS-NC-052-IH-NC-M70818-241030_S28_2,CIMS-NC-052-SH-NC-M70818-241030_S4_3,
CIMS-NC-053-IH-NC-M70818-241030_S29_3,CIMS-NC-053-SH-NC-M70818-241030_S5_4,
CIMS-NC-054-IH-NC-M70818-241030_S30_3,CIMS-NC-054-SH-NC-M70818-241030_S6_3,
CIMS-NC-054-IH-r1-NC-M70818-250124_S32,CIMS-NC-054-SH-r1-NC-M70818-250124_S8,
CIMS-NC-056-IH-NC-M70818-241030_S31_4,CIMS-NC-056-SH-NC-M70818-241030_S7_4,
CIMS-NC-059-IH-NC-M70818-241030_S34_2,CIMS-NC-059-SH-NC-M70818-241030_S10_3,
CIMS-NC-060-IH-NC-M70818-241030_S35_4,CIMS-NC-060-SH-NC-M70818-241030_S11_2,
CIMS-NC-061-IH-NC-M70818-241030_S36_3,CIMS-NC-061-SH-NC-M70818-241030_S12_2,
CIMS-NC-062-IH-NC-M70818-241030_S37_3,CIMS-NC-062-SH-NC-M70818-241030_S13_2,
CIMS-NC-063-IH-NC-M70818-241030_S38_4,CIMS-NC-063-SH-NC-M70818-241030_S14,
CIMS-NC-065-IH-NC-M70818-241030_S39,CIMS-NC-065-SH-NC-M70818-241030_S15,
CIMS-NC-066-IH-NC-M70818-241030_S40,CIMS-NC-066-SH-NC-M70818-241030_S16_4,
CIMS-NC-066-IH-r1-NC-M70818-250124_S31,CIMS-NC-066-SH-r1-NC-M70818-250124_S7,
CIMS-NC-067-IH-NC-M70818-241030_S41_2,CIMS-NC-067-SH-NC-M70818-241030_S17_2,
CIMS-NC-068-IH-NC-M70818-241030_S42_4,CIMS-NC-068-SH-NC-M70818-241030_S18_3,
CIMS-NC-069-IH-r1-NC-M70818-250124_S45,CIMS-NC-069-SH-r1-NC-M70818-250124_S21,
CIMS-NC-070-IH-NC-M70818-241030_S44_3,CIMS-NC-070-SH-NC-M70818-241030_S20_3,
CIMS-NC-071-IH-NC-M70818-241030_S45_3,CIMS-NC-071-SH-NC-M70818-241030_S21,
CIMS-NC-073-IH-r1-NC-M70818-250124_S46,CIMS-NC-073-SH-r1-NC-M70818-250124_S22,
CIMS-NC-074-IH-NC-M70818-250103_S25,CIMS-NC-074-SH-NC-M70818-250103_S1,
CIMS-NC-075-IH-NC-M70818-250103_S26,CIMS-NC-075-SH-NC-M70818-250103_S2,
CIMS-NC-076-IH-NC-M70818-250103_S27,CIMS-NC-076-SH-NC-M70818-250103_S3,
CIMS-NC-077-IH-NC-M70818-250103_S28,CIMS-NC-077-SH-NC-M70818-250103_S4,
CIMS-NC-078-IH-NC-M70818-250103_S29,CIMS-NC-078-SH-NC-M70818-250103_S5,
CIMS-NC-080-IH-NC-M70818-250103_S30,CIMS-NC-080-SH-NC-M70818-250103_S6,
CIMS-NC-081-IH-NC-M70818-250103_S31,CIMS-NC-081-SH-NC-M70818-250103_S7,
CIMS-NC-082-IH-NC-M70818-250103_S32,CIMS-NC-082-SH-NC-M70818-250103_S8,
CIMS-NC-084-IH-NC-M70818-250103_S34,CIMS-NC-084-SH-NC-M70818-250103_S10,
CIMS-NC-085-IH-NC-M70818-250103_S35,CIMS-NC-085-SH-NC-M70818-250103_S11,
CIMS-NC-086-IH-NC-M70818-250103_S36,CIMS-NC-086-SH-NC-M70818-250103_S12,
CIMS-NC-087-IH-NC-M70818-250103_S37,CIMS-NC-087-SH-NC-M70818-250103_S13,
CIMS-NC-088-IH-NC-M70818-250103_S38,CIMS-NC-088-SH-NC-M70818-250103_S14,
CIMS-NC-090-IH-NC-M70818-250103_S39,CIMS-NC-090-SH-NC-M70818-250103_S15,
CIMS-NC-092-IH-NC-M70818-250103_S40,CIMS-NC-092-SH-NC-M70818-250103_S16,
CIMS-NC-093-IH-NC-M70818-250103_S41,CIMS-NC-093-SH-NC-M70818-250103_S17,
CIMS-NC-094-IH-NC-M70818-250103_S42,CIMS-NC-094-SH-NC-M70818-250103_S18,
CIMS-NC-095-IH-NC-M70818-250103_S43,CIMS-NC-095-SH-NC-M70818-250103_S19,
CIMS-NC-096-IH-NC-M70818-250103_S44,CIMS-NC-096-SH-NC-M70818-250103_S20,
CIMS-NC-097-IH-NC-M70818-250103_S45,CIMS-NC-097-SH-NC-M70818-250103_S21,
CIMS-NC-098-IH-NC-M70818-250103_S46,CIMS-NC-098-SH-NC-M70818-250103_S22,
CIMS-NC-099-IH-NC-M70818-250103_S47,CIMS-NC-099-SH-NC-M70818-250103_S23,
CIMS-NC-099-IH-r1-NC-M70818-250124_S47,CIMS-NC-099-SH-r1-NC-M70818-250124_S23,
CIMS-NC-100-IH-NC-M70818-250124_S25,CIMS-NC-100-SH-NC-M70818-250124_S1,
CIMS-NC-102-IH-NC-M70818-250124_S27,CIMS-NC-102-SH-NC-M70818-250124_S3,
