Isolate (IH):,Stool (SH):,Isolate WGS (IW):
CIMS-OH-301-IH,CIMS-OH-323-SH,CIMS-OH-301-IH
CIMS-OH-302-IH,CIMS-OH-324-SH,CIMS-OH-302-IH
CIMS-OH-303-IH,CIMS-OH-325-SH,CIMS-OH-303-IH
CIMS-OH-304-IH,CIMS-OH-326-SH,CIMS-OH-304-IH
CIMS-OH-305-IH,CIMS-OH-327-SH,CIMS-OH-305-IH
CIMS-OH-306-IH,CIMS-OH-328-SH,CIMS-OH-306-IH
CIMS-OH-307-IH,CIMS-OH-329-SH,CIMS-OH-307-IH
CIMS-OH-308-IH,CIMS-OH-330-SH,CIMS-OH-308-IH
CIMS-OH-309-IH,CIMS-OH-331-SH,CIMS-OH-309-IH
CIMS-OH-310-IH,CIMS-OH-332-SH,CIMS-OH-310-IH
CIMS-OH-311-IH,CIMS-OH-333-SH,CIMS-OH-311-IH
CIMS-OH-312-IH,CIMS-OH-334-SH,CIMS-OH-312-IH
CIMS-OH-313-IH,CIMS-OH-335-SH,CIMS-OH-313-IH
CIMS-OH-314-IH,CIMS-OH-336-SH,CIMS-OH-314-IH
CIMS-OH-315-IH,CIMS-OH-337-SH,CIMS-OH-315-IH
CIMS-OH-316-IH,CIMS-OH-338-SH,CIMS-OH-316-IH
CIMS-OH-317-IH,CIMS-OH-339-SH,CIMS-OH-317-IH
CIMS-OH-318-IH,CIMS-OH-340-SH,CIMS-OH-318-IH
CIMS-OH-319-IH,CIMS-OH-341-SH,CIMS-OH-319-IH
CIMS-OH-320-IH,CIMS-OH-342-SH,CIMS-OH-320-IH
CIMS-OH-365-IH,CIMS-OH-343-SH,CIMS-OH-365-IH
CIMS-OH-366-IH,CIMS-OH-344-SH,CIMS-OH-366-IH
CIMS-OH-367-IH,CIMS-OH-345-SH,CIMS-OH-367-IH
CIMS-OH-368-IH,CIMS-OH-346-SH,CIMS-OH-368-IH
CIMS-OH-369-IH,CIMS-OH-347-SH,CIMS-OH-369-IH
CIMS-OH-370-IH,CIMS-OH-348-SH,CIMS-OH-370-IH
CIMS-OH-371-IH,CIMS-OH-349-SH,CIMS-OH-371-IH
CIMS-OH-372-IH,CIMS-OH-350-SH,CIMS-OH-372-IH
CIMS-OH-373-IH,CIMS-OH-351-SH,CIMS-OH-373-IH
CIMS-OH-374-IH,CIMS-OH-352-SH,CIMS-OH-374-IH
CIMS-OH-375-IH,CIMS-OH-353-SH,CIMS-OH-375-IH
CIMS-OH-376-IH,CIMS-OH-354-SH,CIMS-OH-376-IH
CIMS-OH-377-IH,CIMS-OH-355-SH,CIMS-OH-377-IH
CIMS-OH-378-IH,CIMS-OH-356-SH,CIMS-OH-378-IH
CIMS-OH-379-IH,CIMS-OH-357-SH,CIMS-OH-379-IH
CIMS-OH-380-IH,CIMS-OH-358-SH,CIMS-OH-380-IH
CIMS-OH-381-IH,CIMS-OH-359-SH,CIMS-OH-381-IH
CIMS-OH-382-IH,CIMS-OH-360-SH,CIMS-OH-382-IH
CIMS-OH-383-IH,CIMS-OH-361-SH,CIMS-OH-383-IH
CIMS-OH-384-IH,CIMS-OH-362-SH,CIMS-OH-384-IH
CIMS-OH-385-IH,CIMS-OH-363-SH,CIMS-OH-385-IH
CIMS-OH-386-IH,CIMS-OH-364-SH,CIMS-OH-386-IH
CIMS-OH-387-IH,CIMS-OH-409-SH,CIMS-OH-387-IH
CIMS-OH-388-IH,CIMS-OH-410-SH,CIMS-OH-388-IH
CIMS-OH-389-IH,CIMS-OH-411-SH,CIMS-OH-389-IH
CIMS-OH-390-IH,CIMS-OH-412-SH,CIMS-OH-390-IH
CIMS-OH-391-IH,CIMS-OH-413-SH,CIMS-OH-391-IH
CIMS-OH-392-IH,CIMS-OH-414-SH,CIMS-OH-392-IH
CIMS-OH-393-IH,CIMS-OH-415-SH,CIMS-OH-393-IH
CIMS-OH-394-IH,CIMS-OH-416-SH,CIMS-OH-394-IH
CIMS-OH-395-IH,CIMS-OH-417-SH,CIMS-OH-395-IH
CIMS-OH-396-IH,CIMS-OH-418-SH,CIMS-OH-396-IH
CIMS-OH-397-IH,CIMS-OH-419-SH,CIMS-OH-397-IH
CIMS-OH-398-IH,CIMS-OH-420-SH,CIMS-OH-398-IH
CIMS-OH-399-IH,CIMS-OH-421-SH,CIMS-OH-399-IH
CIMS-OH-400-IH,CIMS-OH-422-SH,CIMS-OH-400-IH
CIMS-OH-401-IH,CIMS-OH-423-SH,CIMS-OH-401-IH
CIMS-OH-402-IH,CIMS-OH-424-SH,CIMS-OH-402-IH
CIMS-OH-403-IH,CIMS-OH-425-SH,CIMS-OH-403-IH
CIMS-OH-404-IH,CIMS-OH-426-SH,CIMS-OH-404-IH
CIMS-OH-405-IH,CIMS-OH-427-SH,CIMS-OH-405-IH
CIMS-OH-406-IH,CIMS-OH-428-SH,CIMS-OH-406-IH
CIMS-OH-407-IH,CIMS-OH-429-SH,CIMS-OH-407-IH
CIMS-OH-408-IH,CIMS-OH-430-SH,CIMS-OH-408-IH
CIMS-OH-431-IH,CIMS-OH-453-SH,CIMS-OH-431-IH
CIMS-OH-432-IH,CIMS-OH-454-SH,CIMS-OH-432-IH
CIMS-OH-433-IH,CIMS-OH-455-SH,CIMS-OH-433-IH
CIMS-OH-434-IH,CIMS-OH-456-SH,CIMS-OH-434-IH
CIMS-OH-435-IH,CIMS-OH-457-SH,CIMS-OH-435-IH
CIMS-OH-436-IH,CIMS-OH-458-SH,CIMS-OH-436-IH
CIMS-OH-437-IH,CIMS-OH-459-SH,CIMS-OH-437-IH
CIMS-OH-438-IH,CIMS-OH-460-SH,CIMS-OH-438-IH
CIMS-OH-439-IH,CIMS-OH-461-SH,CIMS-OH-439-IH
CIMS-OH-440-IH,CIMS-OH-462-SH,CIMS-OH-440-IH
CIMS-OH-441-IH,CIMS-OH-463-SH,CIMS-OH-441-IH
CIMS-OH-442-IH,CIMS-OH-464-SH,CIMS-OH-442-IH
CIMS-OH-443-IH,CIMS-OH-465-SH,CIMS-OH-443-IH
CIMS-OH-444-IH,CIMS-OH-466-SH,CIMS-OH-444-IH
CIMS-OH-445-IH,CIMS-OH-467-SH,CIMS-OH-445-IH
CIMS-OH-446-IH,CIMS-OH-468-SH,CIMS-OH-446-IH
CIMS-OH-447-IH,CIMS-OH-469-SH,CIMS-OH-447-IH
CIMS-OH-448-IH,CIMS-OH-470-SH,CIMS-OH-448-IH
CIMS-OH-449-IH,CIMS-OH-471-SH,CIMS-OH-449-IH
CIMS-OH-450-IH,CIMS-OH-472-SH,CIMS-OH-450-IH
CIMS-OH-451-IH,CIMS-OH-473-SH,CIMS-OH-451-IH
CIMS-OH-452-IH,CIMS-OH-474-SH,CIMS-OH-452-IH
CIMS-OH-475-IH,CIMS-OH-497-SH,CIMS-OH-475-IH
CIMS-OH-476-IH,CIMS-OH-498-SH,CIMS-OH-476-IH
CIMS-OH-477-IH,CIMS-OH-499-SH,CIMS-OH-477-IH
CIMS-OH-478-IH,CIMS-OH-500-SH,CIMS-OH-478-IH
CIMS-OH-479-IH,CIMS-OH-501-SH,CIMS-OH-479-IH
CIMS-OH-480-IH,CIMS-OH-502-SH,CIMS-OH-480-IH
CIMS-OH-481-IH,CIMS-OH-503-SH,CIMS-OH-481-IH
CIMS-OH-482-IH,CIMS-OH-504-SH,CIMS-OH-482-IH
CIMS-OH-483-IH,CIMS-OH-505-SH,CIMS-OH-483-IH
CIMS-OH-484-IH,CIMS-OH-506-SH,CIMS-OH-484-IH
CIMS-OH-485-IH,CIMS-OH-507-SH,CIMS-OH-485-IH
CIMS-OH-486-IH,CIMS-OH-508-SH,CIMS-OH-486-IH
CIMS-OH-487-IH,CIMS-OH-509-SH,CIMS-OH-487-IH
CIMS-OH-488-IH,CIMS-OH-510-SH,CIMS-OH-488-IH
CIMS-OH-489-IH,CIMS-OH-511-SH,CIMS-OH-489-IH
CIMS-OH-490-IH,CIMS-OH-512-SH,CIMS-OH-490-IH
CIMS-OH-491-IH,CIMS-OH-513-SH,CIMS-OH-491-IH
CIMS-OH-492-IH,CIMS-OH-514-SH,CIMS-OH-492-IH
CIMS-OH-493-IH,CIMS-OH-515-SH,CIMS-OH-493-IH
CIMS-OH-494-IH,CIMS-OH-516-SH,CIMS-OH-494-IH
CIMS-OH-495-IH,CIMS-OH-517-SH,CIMS-OH-495-IH
CIMS-OH-496-IH,CIMS-OH-518-SH,CIMS-OH-496-IH
CIMS-OH-519-IH,CIMS-OH-541-SH,CIMS-OH-519-IH
CIMS-OH-520-IH,CIMS-OH-542-SH,CIMS-OH-520-IH
CIMS-OH-521-IH,CIMS-OH-543-SH,CIMS-OH-521-IH
CIMS-OH-522-IH,CIMS-OH-544-SH,CIMS-OH-522-IH
CIMS-OH-523-IH,CIMS-OH-545-SH,CIMS-OH-523-IH
CIMS-OH-524-IH,CIMS-OH-546-SH,CIMS-OH-524-IH
CIMS-OH-525-IH,CIMS-OH-547-SH,CIMS-OH-525-IH
CIMS-OH-526-IH,CIMS-OH-548-SH,CIMS-OH-526-IH
CIMS-OH-527-IH,CIMS-OH-549-SH,CIMS-OH-527-IH
CIMS-OH-528-IH,CIMS-OH-550-SH,CIMS-OH-528-IH
CIMS-OH-529-IH,CIMS-OH-551-SH,CIMS-OH-529-IH
CIMS-OH-530-IH,CIMS-OH-552-SH,CIMS-OH-530-IH
CIMS-OH-531-IH,CIMS-OH-553-SH,CIMS-OH-531-IH
CIMS-OH-532-IH,CIMS-OH-554-SH,CIMS-OH-532-IH
CIMS-OH-533-IH,CIMS-OH-555-SH,CIMS-OH-533-IH
CIMS-OH-534-IH,CIMS-OH-556-SH,CIMS-OH-534-IH
CIMS-OH-535-IH,CIMS-OH-557-SH,CIMS-OH-535-IH
CIMS-OH-536-IH,CIMS-OH-558-SH,CIMS-OH-536-IH
CIMS-OH-537-IH,CIMS-OH-559-SH,CIMS-OH-537-IH
CIMS-OH-538-IH,CIMS-OH-560-SH,CIMS-OH-538-IH
CIMS-OH-539-IH,CIMS-OH-561-SH,CIMS-OH-539-IH
CIMS-OH-540-IH,CIMS-OH-562-SH,CIMS-OH-540-IH
CIMS-OH-563-IH,CIMS-OH-563-SH,CIMS-OH-563-IH
CIMS-OH-564-IH,CIMS-OH-564-SH,CIMS-OH-564-IH
CIMS-OH-565-IH,CIMS-OH-565-SH,CIMS-OH-565-IH
CIMS-OH-566-IH,CIMS-OH-566-SH,CIMS-OH-566-IH
CIMS-OH-567-IH,CIMS-OH-567-SH,CIMS-OH-567-IH
CIMS-OH-568-IH,CIMS-OH-568-SH,CIMS-OH-568-IH
CIMS-OH-569-IH,CIMS-OH-569-SH,CIMS-OH-569-IH
CIMS-OH-570-IH,CIMS-OH-570-SH,CIMS-OH-570-IH
CIMS-OH-571-IH,CIMS-OH-571-SH,CIMS-OH-571-IH
CIMS-OH-572-IH,CIMS-OH-572-SH,CIMS-OH-572-IH
CIMS-OH-573-IH,CIMS-OH-573-SH,CIMS-OH-573-IH
CIMS-OH-574-IH,CIMS-OH-574-SH,CIMS-OH-574-IH
CIMS-OH-575-IH,CIMS-OH-575-SH,CIMS-OH-575-IH
CIMS-OH-576-IH,CIMS-OH-576-SH,CIMS-OH-576-IH
CIMS-OH-577-IH,CIMS-OH-577-SH,CIMS-OH-577-IH
CIMS-OH-578-IH,CIMS-OH-578-SH,CIMS-OH-578-IH
CIMS-OH-579-IH,CIMS-OH-579-SH,CIMS-OH-579-IH
CIMS-OH-580-IH,CIMS-OH-580-SH,CIMS-OH-580-IH
CIMS-OH-581-IH,CIMS-OH-581-SH,CIMS-OH-581-IH
CIMS-OH-582-IH,CIMS-OH-582-SH,CIMS-OH-582-IH
CIMS-OH-583-IH,CIMS-OH-583-SH,CIMS-OH-583-IH
CIMS-OH-584-IH,CIMS-OH-584-SH,CIMS-OH-584-IH
CIMS-OH-585-IH,CIMS-OH-585-SH,CIMS-OH-585-IH
CIMS-OH-586-IH,CIMS-OH-586-SH,CIMS-OH-586-IH
CIMS-OH-587-IH,CIMS-OH-587-SH,CIMS-OH-587-IH
CIMS-OH-588-IH,CIMS-OH-588-SH,CIMS-OH-588-IH
CIMS-OH-589-IH,CIMS-OH-589-SH,CIMS-OH-589-IH
CIMS-OH-590-IH,CIMS-OH-590-SH,CIMS-OH-590-IH
CIMS-OH-591-IH,CIMS-OH-591-SH,CIMS-OH-591-IH
CIMS-OH-592-IH,CIMS-OH-592-SH,CIMS-OH-592-IH
CIMS-OH-593-IH,CIMS-OH-593-SH,CIMS-OH-593-IH
CIMS-OH-594-IH,CIMS-OH-594-SH,CIMS-OH-594-IH
CIMS-OH-595-IH,CIMS-OH-595-SH,CIMS-OH-595-IH
CIMS-OH-596-IH,CIMS-OH-596-SH,CIMS-OH-596-IH
CIMS-OH-597-IH,CIMS-OH-597-SH,CIMS-OH-597-IH
CIMS-OH-598-IH,CIMS-OH-598-SH,CIMS-OH-598-IH
CIMS-OH-599-IH,CIMS-OH-599-SH,CIMS-OH-599-IH
CIMS-OH-600-IH,CIMS-OH-600-SH,CIMS-OH-600-IH
CIMS-OH-601-IH,CIMS-OH-601-SH,CIMS-OH-601-IH
CIMS-OH-602-IH,CIMS-OH-602-SH,CIMS-OH-602-IH
CIMS-OH-603-IH,CIMS-OH-603-SH,CIMS-OH-603-IH
CIMS-OH-604-IH,CIMS-OH-604-SH,CIMS-OH-604-IH
CIMS-OH-605-IH,CIMS-OH-605-SH,CIMS-OH-605-IH
CIMS-OH-606-IH,CIMS-OH-606-SH,CIMS-OH-606-IH
CIMS-OH-607-IH,CIMS-OH-607-SH,CIMS-OH-607-IH
CIMS-OH-608-IH,CIMS-OH-608-SH,CIMS-OH-608-IH
CIMS-OH-609-IH,CIMS-OH-609-SH,CIMS-OH-609-IH
CIMS-OH-610-IH,CIMS-OH-610-SH,CIMS-OH-610-IH
CIMS-OH-611-IH,CIMS-OH-611-SH,CIMS-OH-611-IH
CIMS-OH-612-IH,CIMS-OH-612-SH,CIMS-OH-612-IH
CIMS-OH-613-IH,CIMS-OH-613-SH,CIMS-OH-613-IH
CIMS-OH-614-IH,CIMS-OH-614-SH,CIMS-OH-614-IH
CIMS-OH-615-IH,CIMS-OH-615-SH,CIMS-OH-615-IH
CIMS-OH-616-IH,CIMS-OH-616-SH,CIMS-OH-616-IH
CIMS-OH-617-IH,CIMS-OH-617-SH,CIMS-OH-617-IH
CIMS-OH-618-IH,CIMS-OH-618-SH,CIMS-OH-618-IH
CIMS-OH-619-IH,CIMS-OH-619-SH,CIMS-OH-619-IH
CIMS-OH-620-IH,CIMS-OH-620-SH,CIMS-OH-620-IH
CIMS-OH-621-IH,CIMS-OH-621-SH,CIMS-OH-621-IH
CIMS-OH-622-IH,CIMS-OH-622-SH,CIMS-OH-622-IH
CIMS-OH-623-IH,CIMS-OH-623-SH,CIMS-OH-623-IH
CIMS-OH-624-IH,CIMS-OH-624-SH,CIMS-OH-624-IH
CIMS-OH-625-IH,CIMS-OH-625-SH,CIMS-OH-625-IH
CIMS-OH-626-IH,CIMS-OH-626-SH,CIMS-OH-626-IH
CIMS-OH-627-IH,CIMS-OH-627-SH,CIMS-OH-627-IH
CIMS-OH-628-IH,CIMS-OH-628-SH,CIMS-OH-628-IH
